detector,n_bins,n_obs_per_period,alpha,testing_set,time2build,time2graphs,time2global,time2metrics,time2predict,time2window,tp,tn,fp,fn
Hamming,15,24,6,anomalous,0.566399097442627,0.42278051376342773,0.10144400596618652,0.038173675537109375,0.0040018558502197266,7.053032159805298,0,0,0,210
Hamming,15,24,7,normal,0.563633918762207,0.43061137199401855,0.1000223159790039,0.029000043869018555,0.00400090217590332,7.045004367828369,0,210,0,0
Hamming,15,24,7,anomalous,0.563633918762207,0.43061137199401855,0.1000223159790039,0.029000043869018555,0.004006862640380859,7.093898057937622,0,0,0,210
Hamming,15,24,8,normal,0.5845417976379395,0.4507784843444824,0.1020352840423584,0.027739286422729492,0.004000425338745117,7.053406000137329,0,210,0,0
Hamming,15,24,8,anomalous,0.5845417976379395,0.4507784843444824,0.1020352840423584,0.027739286422729492,0.0051310062408447266,7.073139429092407,0,0,0,210
Hamming,15,24,9,normal,0.5715212821960449,0.4371931552886963,0.10193991661071777,0.028386831283569336,0.005005359649658203,7.051018953323364,0,210,0,0
Hamming,15,24,9,anomalous,0.5715212821960449,0.4371931552886963,0.10193991661071777,0.028386831283569336,0.0040073394775390625,7.076618194580078,0,0,0,210
Hamming,15,24,10,normal,0.53533935546875,0.4040720462799072,0.0997164249420166,0.028542041778564453,0.003995180130004883,7.114831447601318,0,210,0,0
Hamming,15,24,10,anomalous,0.53533935546875,0.4040720462799072,0.0997164249420166,0.028542041778564453,0.004064321517944336,7.028776407241821,0,0,0,210
Hamming,20,24,1,normal,0.5797169208526611,0.44180941581726074,0.1020193099975586,0.030873775482177734,0.005261659622192383,7.482593297958374,0,210,0,0
Hamming,20,24,1,anomalous,0.5797169208526611,0.44180941581726074,0.1020193099975586,0.030873775482177734,0.005162239074707031,7.492130994796753,0,0,0,210
Hamming,20,24,2,normal,0.544529914855957,0.40839719772338867,0.10235428810119629,0.02858710289001465,0.0050008296966552734,7.494530439376831,0,210,0,0
Hamming,20,24,2,anomalous,0.544529914855957,0.40839719772338867,0.10235428810119629,0.02858710289001465,0.0051538944244384766,7.514695405960083,0,0,0,210
Hamming,20,24,3,normal,0.5806913375854492,0.4417450428009033,0.10460805892944336,0.02933812141418457,0.005007505416870117,7.513153076171875,0,210,0,0
Hamming,20,24,3,anomalous,0.5806913375854492,0.4417450428009033,0.10460805892944336,0.02933812141418457,0.005001068115234375,7.513700723648071,0,0,0,210
Hamming,20,24,4,normal,0.5504891872406006,0.41317224502563477,0.10366940498352051,0.028648853302001953,0.005372524261474609,7.477689266204834,0,210,0,0
Hamming,20,24,4,anomalous,0.5504891872406006,0.41317224502563477,0.10366940498352051,0.028648853302001953,0.006014585494995117,7.552478551864624,0,0,0,210
Hamming,20,24,5,normal,0.5927953720092773,0.45464086532592773,0.10278511047363281,0.030368566513061523,0.0052433013916015625,7.557005167007446,0,210,0,0
Hamming,20,24,5,anomalous,0.5927953720092773,0.45464086532592773,0.10278511047363281,0.030368566513061523,0.005270481109619141,7.600722312927246,0,0,0,210
