detector,n_bins,n_obs_per_period,alpha,testing_set,time_model_creation,time_model_prediction,n_tp,n_tn,n_fp,n_fn
Hamming,30,168,15,normal,0.2699282169342041,0.06730079650878906,0,26,4,0
Hamming,30,168,15,anomalous,0.2699282169342041,0.07207512855529785,21,0,0,9
Hamming,40,168,1,normal,0.32450008392333984,0.08059215545654297,0,29,1,0
Hamming,40,168,1,anomalous,0.32450008392333984,0.0848701000213623,3,0,0,27
Hamming,40,168,2.5,normal,0.3262779712677002,0.08010387420654297,0,29,1,0
Hamming,40,168,2.5,anomalous,0.3262779712677002,0.08502078056335449,6,0,0,24
Hamming,40,168,5,normal,0.3244760036468506,0.08003520965576172,0,29,1,0
Hamming,40,168,5,anomalous,0.3244760036468506,0.0874021053314209,14,0,0,16
Hamming,40,168,10,normal,0.32366394996643066,0.08024191856384277,0,25,5,0
Hamming,40,168,10,anomalous,0.32366394996643066,0.08456182479858398,20,0,0,10
Hamming,40,168,15,normal,0.32323598861694336,0.08006620407104492,0,25,5,0
Hamming,40,168,15,anomalous,0.32323598861694336,0.08666324615478516,21,0,0,9
Hamming,50,168,1,normal,0.3856201171875,0.09375691413879395,0,30,0,0
Hamming,50,168,1,anomalous,0.3856201171875,0.09940505027770996,1,0,0,29
Hamming,50,168,2.5,normal,0.377824068069458,0.09444999694824219,0,29,1,0
Hamming,50,168,2.5,anomalous,0.377824068069458,0.10105705261230469,7,0,0,23
Hamming,50,168,5,normal,0.3818039894104004,0.09502983093261719,0,27,3,0
Hamming,50,168,5,anomalous,0.3818039894104004,0.09997224807739258,10,0,0,20
Hamming,50,168,10,normal,0.44684600830078125,0.09409093856811523,0,27,3,0
Hamming,50,168,10,anomalous,0.44684600830078125,0.09957504272460938,12,0,0,18
Hamming,50,168,15,normal,0.3784167766571045,0.09398221969604492,0,22,8,0
Hamming,50,168,15,anomalous,0.3784167766571045,0.09999513626098633,17,0,0,13
Hamming,10,336,1,normal,0.1080939769744873,0.0267331600189209,0,14,1,0
Hamming,10,336,1,anomalous,0.1080939769744873,0.026944875717163086,8,0,0,7
Hamming,10,336,2.5,normal,0.10893416404724121,0.026593923568725586,0,14,1,0
Hamming,10,336,2.5,anomalous,0.10893416404724121,0.027347803115844727,8,0,0,7
Hamming,10,336,5,normal,0.10465502738952637,0.026819944381713867,0,14,1,0
Hamming,10,336,5,anomalous,0.10465502738952637,0.026961088180541992,8,0,0,7
Hamming,10,336,10,normal,0.10426616668701172,0.026648283004760742,0,14,1,0
Hamming,10,336,10,anomalous,0.10426616668701172,0.027024030685424805,8,0,0,7
Hamming,10,336,15,normal,0.10357093811035156,0.026679039001464844,0,10,5,0
Hamming,10,336,15,anomalous,0.10357093811035156,0.02695775032043457,11,0,0,4
Hamming,20,336,1,normal,0.12830471992492676,0.033675193786621094,0,15,0,0
Hamming,20,336,1,anomalous,0.12830471992492676,0.0348811149597168,9,0,0,6
Hamming,20,336,2.5,normal,0.1336050033569336,0.03410482406616211,0,15,0,0
Hamming,20,336,2.5,anomalous,0.1336050033569336,0.03532576560974121,10,0,0,5
Hamming,20,336,5,normal,0.1318340301513672,0.03424191474914551,0,15,0,0
Hamming,20,336,5,anomalous,0.1318340301513672,0.035279035568237305,10,0,0,5
Hamming,20,336,10,normal,0.13810014724731445,0.03387713432312012,0,14,1,0
Hamming,20,336,10,anomalous,0.13810014724731445,0.03450202941894531,11,0,0,4
Hamming,20,336,15,normal,0.12997078895568848,0.033869028091430664,0,13,2,0
Hamming,20,336,15,anomalous,0.12997078895568848,0.035058021545410156,11,0,0,4
Hamming,30,336,1,normal,0.16049909591674805,0.04572415351867676,0,14,1,0
Hamming,30,336,1,anomalous,0.16049909591674805,0.04348111152648926,10,0,0,5
Hamming,30,336,2.5,normal,0.16092324256896973,0.041416168212890625,0,14,1,0
Hamming,30,336,2.5,anomalous,0.16092324256896973,0.042704105377197266,10,0,0,5
Hamming,30,336,5,normal,0.16056299209594727,0.04465365409851074,0,14,1,0
Hamming,30,336,5,anomalous,0.16056299209594727,0.04282808303833008,10,0,0,5
Hamming,30,336,10,normal,0.15967106819152832,0.04131197929382324,0,14,1,0
