DT,Usage
13235,0.01
13236,0.0
13237,0.0
13238,0.0
13239,0.0
13240,0.0
13241,0.0
13242,0.0
13243,0.0
13244,0.0
13245,0.0
13246,0.0
13247,0.0
13248,0.0
13301,0.0
13302,0.0
13303,0.0
13304,0.0
13305,0.0
13306,0.0
13307,0.0
13308,0.0
13309,0.0
13310,0.0
13311,0.0
13312,0.0
13313,0.0
13314,0.0
13315,0.0
13316,0.0
13317,0.01
13318,0.03
13319,0.08
13320,0.1
13321,0.16
13322,0.15
13323,0.29
13324,0.46
13325,0.46
13326,0.41
13327,0.49
13328,0.43
13329,0.23
13330,0.07
13331,0.07
13332,0.04
13333,0.04
13334,0.01
13335,0.0
13336,0.0
13337,0.0
13338,0.0
13339,0.0
13340,0.01
13341,0.0
13342,0.0
13343,0.0
13344,0.0
13345,0.0
13346,0.0
13347,0.0
13348,0.0
13401,0.0
13402,0.0
13403,0.0
13404,0.0
13405,0.0
13406,0.0
13407,0.0
13408,0.0
13409,0.0
13410,0.0
13411,0.0
13412,0.0
13413,0.0
13414,0.0
13415,0.01
13416,0.02
13417,0.21
13418,0.29
13419,0.36
13420,0.42
13421,0.47
13422,0.4
13423,0.13
13424,0.18
13425,0.23
13426,0.05
13427,0.05
13428,0.28
13429,0.25
13430,0.04
13431,0.03
13432,0.01
13433,0.01
13434,0.0
13435,0.0
13436,0.0
13437,0.0
13438,0.0
13439,0.0
13440,0.01
13441,0.0
13442,0.0
13443,0.0
13444,0.0
13445,0.0
13446,0.0
13447,0.0
13448,0.0
13501,0.0
13502,0.0
13503,0.0
13504,0.0
13505,0.0
13506,0.0
13507,0.0
13508,0.0
13509,0.0
13510,0.0
13511,0.0
13512,0.0
13513,0.0
13514,0.0
13515,0.02
13516,0.05
13517,0.1
13518,0.3
13519,0.09
13520,0.32
13521,0.48
13522,0.52
13523,0.54
13524,0.56
13525,0.2
13526,0.46
13527,0.41
13528,0.14
13529,0.12
13530,0.11
13531,0.06
13532,0.03
13533,0.01
13534,0.01
13535,0.0
13536,0.0
13537,0.0
13538,0.0
13539,0.0
13540,0.0
13541,0.0
13542,0.0
13543,0.0
13544,0.0
13545,0.0
13546,0.0
13547,0.0
13548,0.0
13601,0.0
13602,0.0
13603,0.0
13604,0.0
13605,0.0
13606,0.0
13607,0.0
13608,0.0
13609,0.0
13610,0.0
13611,0.0
13612,0.0
13613,0.0
13614,0.0
13615,0.01
13616,0.02
13617,0.2
13618,0.3
13619,0.38
13620,0.43
13621,0.44
13622,0.38
13623,0.16
13624,0.56
13625,0.51
13626,0.34
13627,0.33
13628,0.12
13629,0.08
13630,0.03
13631,0.03
13632,0.02
13633,0.02
13634,0.01
13635,0.0
13636,0.0
13637,0.0
13638,0.0
13639,0.0
13640,0.0
13641,0.0
13642,0.0
13643,0.0
13644,0.0
13645,0.0
13646,0.0
13647,0.0
13648,0.0
13701,0.0
13702,0.0
13703,0.0
13704,0.0
13705,0.0
13706,0.0
13707,0.0
13708,0.0
13709,0.0
13710,0.0
13711,0.0
13712,0.0
13713,0.0
13714,0.0
13715,0.01
13716,0.02
13717,0.21
13718,0.31
13719,0.39
13720,0.45
13721,0.49
13722,0.53
13723,0.55
13724,0.56
13725,0.58
13726,0.48
13727,0.39
13728,0.44
13729,0.33
13730,0.06
13731,0.11
13732,0.03
13733,0.03
13734,0.01
13735,0.0
13736,0.0
13737,0.0
13738,0.0
13739,0.0
13740,0.0
13741,0.0
13742,0.0
13743,0.0
13744,0.0
13745,0.0
13746,0.0
13747,0.0
13748,0.0
13801,0.0
13802,0.0
13803,0.0
13804,0.0
13805,0.0
13806,0.0
13807,0.0
13808,0.0
13809,0.0
13810,0.0
13811,0.0
13812,0.0
13813,0.01
13814,0.0
13815,0.01
13816,0.03
13817,0.2
13818,0.28
13819,0.38
13820,0.44
13821,0.47
13822,0.52
13823,0.54
13824,0.41
